© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
XBP1	0.932	transcription regulator	Activated	4.416	bias	1.22E-34	CALR,DNAJB11,DNAJC3,ERLEC1,ETS1,HLA-DRA,HSP90B1,HSPA5,HYOU1,LMAN1,LMAN2,MAN1A1,NUCB2,P4HB,PDIA3,PDIA4,PDIA6,PRDM1,RPN1,RPN2,SDF2L1,SEC11C,SEC61A1,SEC61B,SPCS3,SSR1,SSR3,SSR4,TRAM1,XBP1	39 (4)
lipopolysaccharide	 	chemical drug	Activated	4.574	 	1.87E-22	BTG1,CALR,CCND2,CD38,CD74,CKAP4,CRELD2,DNAJB11,DNAJC3,ELL2,ENO1,HDLBP,HLA-DQA1,HLA-DQB1,HSP90B1,HSPA5,HSPA8,HYOU1,IGHG1,IGHM,IGKC,ITM2C,JCHAIN,LDHA,LMAN1,MANF,MKI67,MTDH,MYH9,P4HB,PDIA3,PDIA4,PDIA6,PIM2,PRDM1,S100A8,S100A9,SEC61A1,SEL1L,SLAMF7,SSR1,TENT5C,TSC22D3,TXNIP,UBE2J1,VIM,XBP1,YWHAE	70 (14)
tunicamycin	 	chemical - endogenous non-mammalian	Activated	3.365	bias	1.02E-21	CALR,CANX,DNAJB11,DNAJC3,ERLEC1,ETS1,HDLBP,HSP90B1,HSPA5,LMAN1,LMAN2,MANF,MTDH,P4HB,PDIA6,SDF2L1,SEC61A1,SEL1L,SSR3,TXNIP,XBP1	47 (9)
ELL2	0.551	transcription regulator	Activated	3.742	bias	1.59E-20	CRELD2,DNAJC3,HDLBP,IGHM,ITM2C,LMAN1,MANF,PRDM1,SEC61A1,SEL1L,SLAMF7,TENT5C,UBE2J1,XBP1	 
IL5	 	cytokine	Activated	3.587	bias	6.56E-19	CCND2,CD79A,CKAP4,CRELD2,ELL2,ENO1,HSP90B1,HSPA5,HSPH1,IGHG1,IGHM,JCHAIN,LTB,MANF,MTDH,PDIA6,PRDM1,RPN1,SDF2L1,VIM,XBP1	 
TCF3	 	transcription regulator	Activated	2.848	 	2.21E-16	CCND2,CD79A,CDK6,CKAP4,CRELD2,HSP90B1,HYOU1,IGHM,MANF,MKI67,MZB1,PDIA4,PDIA6,PRDM1,SDF2L1,SEC11C,SLAMF7,SUB1,TENT5C,XBP1	 
ERN1	 	kinase	Activated	2.910	bias	2.66E-16	DNAJB11,DNAJC3,ERLEC1,ETS1,HDLBP,HSP90B1,HSPA5,P4HB,PDIA6,SDF2L1,SEC61A1,SEL1L,SSR3,UBE2J1,XBP1	39 (4)
UDP-D-glucose	 	chemical - endogenous mammalian	Inhibited	-2.449	bias	1.19E-14	CALR,HSP90B1,HSPA5,HYOU1,PDIA3,PDIA4	 
beta-estradiol	 	chemical - endogenous mammalian	Activated	3.452	 	1.43E-14	BTG1,CALR,CCND2,CD74,CDK6,DNAJC3,ENO1,ETS1,HDLBP,HLA-DQA1,HLA-DRB1,HLA-E,HSP90AB1,HSP90B1,HSPA5,HSPA8,HSPD1,HSPH1,LAPTM5,LDHA,LTB,MKI67,NUCB2,P4HB,PDIA3,PDIA4,PIM2,PRKCB,RPN2,SDF2L1,SSR1,SSR3,TMED9,TRAM1,TSC22D3,TTN,TXNIP,VIM,XBP1,YWHAE	72 (20)
arsenic trioxide	 	chemical drug	 	1.213	 	3.80E-14	CALR,CDK6,COX7A2,DNAJB11,HSP90AB1,HSP90B1,HSPA5,HSPA8,HYOU1,LMAN2,P4HB,PDIA3,PDIA4,PDIA6,RPN1,S100A8,VCP,XBP1	29 (5)
CD38	0.253	enzyme	Activated	3.676	bias	5.25E-14	CCND2,CKAP4,CRELD2,ELL2,IGHG1,JCHAIN,MANF,MTDH,PDIA6,PRDM1,RPN1,SDF2L1,VIM,XBP1	 
TCF4	 	transcription regulator	Activated	3.500	 	8.66E-14	CD38,CDK6,CKAP4,CRELD2,HSP90B1,HYOU1,MANF,MKI67,MZB1,PDIA4,PDIA6,PRDM1,SDF2L1,SEC11C,SLAMF7,SUB1,TENT5C,TXNIP,XBP1	 
CD40	 	transmembrane receptor	 	1.440	bias	2.59E-13	CALR,CCND2,CD38,CDK6,HLA-DQB1,HSP90B1,HSPA5,IGHG1,IGHG2,IGHG3,IGHG4,JCHAIN,PRDM1,SLAMF7,XBP1	48 (10)
imatinib	 	chemical drug	 	-1.457	 	4.72E-13	CALR,CCND2,COX7A2,DNAJB11,HSP90AB1,HSP90B1,HSPA5,HSPA8,HYOU1,IGKC,LMAN2,P4HB,PDIA3,PDIA4,PDIA6,RPN1,VCP	 
ATF6	 	transcription regulator	Activated	2.590	bias	6.23E-13	CALR,DNAJB11,DNAJC3,HSP90B1,HSPA5,LMAN1,MANF,NUCB2,PDIA4,XBP1	 
IL4	 	cytokine	Activated	2.607	 	1.75E-12	AHNAK,CCND2,CD38,CD74,CD79A,CDK6,CKAP4,IGHG1,IGHG2,IGHG3,IGHG4,JCHAIN,LMAN2,LTB,MKI67,MS4A1,MTDH,MYH9,PIM2,PRDM1,S100A8,S100A9,SDF2L1,SLAMF7,VIM,XBP1	48 (11)
CGA	 	other	Inhibited	-3.317	 	3.48E-12	CRELD2,DNAJB11,ERLEC1,HSP90B1,HSPA5,HYOU1,PDIA3,PDIA4,PDIA6,SDF2L1,SSR4	 
mibolerone	 	chemical drug	Activated	3.426	 	4.73E-12	AHNAK,CALR,CALU,CD74,DNAJB11,HDLBP,HLA-DQA1,HLA-E,HSP90B1,HSPA5,HYOU1,P4HB	 
dexamethasone	 	chemical drug	 	1.776	 	6.71E-12	BTG1,CALR,CANX,CCND2,CD38,CD74,DNAJC3,EEF1A1,ENO1,GAPDH,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HSP90B1,HSPA5,HSPA8,HSPH1,IGHM,IGKC,LAPTM5,LDHA,LTB,MS4A1,NUCB2,PIM2,PRKCB,S100A8,S100A9,SEC61A1,SRGN,TSC22D3,TXNIP,VCP,VIM,XBP1	68 (21)
SGPP2	 	phosphatase	Inhibited	-2.621	bias	3.35E-11	DNAJA1,DNAJC3,HSP90AA1,HSPA5,HSPA8,HSPH1,XBP1	 
IFNG	 	cytokine	 	-1.111	 	3.89E-11	BTG1,CCND2,CD38,CD74,CIRBP,EEF1A1,ENO1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HSP90AA1,HSP90AB1,HSPA5,HSPA8,HSPD1,IGHG1,LDHA,LTB,MYH9,PIM2,PRDM1,S100A8,S100A9,SEC61A1,TSC22D3,TXNIP	56 (14)
IL15	 	cytokine	 	1.272	bias	5.28E-11	BTG1,CCND2,CD38,CD74,CDK6,ENO1,ETS1,GAPDH,GNLY,HSPA8,LDHA,MKI67,PDIA3,PDIA4,PRDM1,SRGN,XBP1	54 (14)
D-glucose	 	chemical - endogenous mammalian	 	0.040	 	6.82E-11	CALR,CANX,CCND2,DNAJB11,DNAJC3,ENO1,GAPDH,HSPA5,HSPD1,LDHA,PDIA3,PDIA4,PDIA6,PRKCB,S100A8,SEC61A1,SSR1,SSR3,TXNIP,XBP1	61 (15)
TP53	 	transcription regulator	 	0.113	 	8.61E-11	BTG1,CALU,CCND2,COX7A2,EEF1A1,GAPDH,HDLBP,HLA-DQA1,HSP90AA1,HSP90AB1,HSPA5,HSPA8,HSPD1,HSPH1,LDHA,LMAN2,MKI67,MTDH,MYH9,P4HB,PDIA6,PRDM1,PRKCB,RPN1,RPN2,SEC61A1,SEC61B,SEL1L,SMC4,TSC22D3,TTN,VIM,XBP1	42 (4)
PRDM1	0.298	transcription regulator	Activated	2.739	 	1.04E-10	CD74,CD79A,CDK6,GNLY,HLA-DQA1,HLA-DRA,IGHG1,IGHM,JCHAIN,PRDM1,S100A8,S100A9,XBP1	30 (5)
THBS4	 	other	Activated	2.583	 	1.31E-10	CALR,CRELD2,HSPA5,HYOU1,MANF,P4HB,SDF2L1	 
IL2	 	cytokine	Activated	2.818	bias	2.42E-10	CCND2,CD38,CD74,CDK6,ETS1,GAPDH,HSP90B1,HSPA5,HSPD1,LAPTM5,LTB,MKI67,PDIA3,PIM2,PRDM1,S100A8,TTN,VIM,XBP1	35 (9)
PDGF (family)	 	group	Activated	2.236	bias	3.17E-10	CALR,HSPD1,P4HB,PDIA3,VIM	 
1,2-dithiol-3-thione	 	chemical reagent	Activated	3.454	bias	4.49E-10	DNAJB11,DNAJC3,HSP90AA1,HSP90AB1,HSP90B1,NUCB2,PDIA3,PDIA4,PDIA6,SEC61A1,VCP,XBP1	15 (2)
CSF3	 	cytokine	 	1.897	 	1.07E-09	CCND2,CDK6,ETS1,GNLY,HLA-DPA1,HLA-DQA1,HLA-DRA,HLA-DRB1,HSPD1,LTB,PRKCB	 
IL27	 	cytokine	 	-0.797	 	2.61E-09	CCND2,CD38,CD74,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-E,PRDM1,VIM	47 (11)
bortezomib	 	chemical drug	 	0.269	 	3.33E-09	CALR,CCND2,DNAJA1,HSP90AA1,HSP90B1,HSPA5,IGHM,IGKC,MS4A1,PRDM1,VIM,XBP1	41 (10)
aldesleukin	 	biologic drug	 	0.378	bias	3.44E-09	CALR,CANX,HLA-DRA,HLA-DRB1,HLA-F,IGKC,PDIA3	 
NFE2L2	 	transcription regulator	Activated	3.065	bias	3.61E-09	DNAJB11,DNAJC3,HSP90AA1,HSP90AB1,HSP90B1,HYOU1,NUCB2,PDIA3,PDIA4,PDIA6,PRKCB,SEC61A1,SRGN,VCP,XBP1	 
Immunoglobulin	 	complex	 	-1.056	 	4.27E-09	CALR,CCND2,CD74,CDK6,COX7A2,ENO1,HLA-DQB1,JCHAIN,MKI67,MZB1,PDIA6,PRDM1,RRBP1,S100A8,S100A9,TTN,XBP1	53 (12)
IRF4	 	transcription regulator	 	0.744	 	5.62E-09	CANX,CDK6,ELL2,HSPA8,MANF,MS4A1,PIM2,PRDM1,SUB1,XBP1	 
SMC3	 	other	Inhibited	-2.000	bias	7.37E-09	HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,PIM2	 
SAFB	 	other	 	1.890	bias	8.07E-09	CD74,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-E,LTB,S100A8	 
FBXO32	 	enzyme	Activated	2.804	 	8.08E-09	CALR,CCND2,DNAJC3,HSPA5,HYOU1,PDIA3,RPN1,XBP1	 
APOE	 	transporter	 	 	 	8.16E-09	CALR,CCND2,HSP90AB1,HSP90B1,HSPA5,HSPD1,P4HB,PRKCB,S100A8,S100A9,TXNIP,VCP,XBP1	59 (12)
grape seed extract	 	chemical drug	 	 	 	9.73E-09	CDK6,ENO1,HSPA8,HSPD1,MKI67,VIM	 
BIRC5	 	other	 	 	 	1.05E-08	CD74,HLA-DQA1,HLA-DQB1,IGHG1,IGHM,JCHAIN,VIM	 
TNF	 	cytokine	 	-0.079	 	1.50E-08	BTG1,CALR,CCND2,CD38,ETS1,HLA-DRA,HLA-E,HLA-F,HSP90AB1,HSP90B1,HSPA5,HSPA8,HSPD1,IGKC,LDHA,LTB,MTDH,MYH9,NUCB2,P4HB,PDIA4,PIM2,PRDM1,S100A8,S100A9,SEC61A1,TSC22D3,TXNIP,VIM	71 (14)
HSP90B1	1.905	other	 	0.378	bias	1.52E-08	CALR,CANX,HSP90B1,HSPA5,SSR3,SSR4,XBP1	15 (4)
BCR (complex)	 	complex	Activated	2.677	bias	2.14E-08	CALR,CCND2,CDK6,HSP90B1,HSPA5,IGHG1,PRDM1,SLAMF7,XBP1	45 (11)
TNFSF13	 	cytokine	Activated	2.449	 	3.41E-08	CCND2,CDK6,IGHA1,IGHG1,PRDM1,XBP1	35 (7)
CIITA	 	transcription regulator	Inhibited	-2.404	 	3.99E-08	CD74,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1	 
ESR1	 	ligand-dependent nuclear receptor	Activated	3.250	 	5.88E-08	AHNAK,CD74,CDK6,ENO1,H4C3,HLA-E,HSP90AA1,HSP90B1,HSPD1,HSPH1,LAPTM5,LTB,MAN1A1,MKI67,PIM2,RRBP1,S100A9,SMC4,SSR3,TRAM1,TSC22D3,TXNIP,VIM,XBP1	61 (6)
ANGPT2	 	growth factor	Activated	2.550	bias	1.01E-07	CALR,ETS1,HSP90AA1,HSPA5,HSPD1,P4HB,PDIA3,PDIA6,TXNIP,VIM	43 (7)
MYCN	 	transcription regulator	 	0.196	 	1.56E-07	CCND2,CKAP4,EEF1A1,GAPDH,HSP90AB1,HSPD1,LDHA,MYH9,PDIA4,TMED9,VIM	41 (4)
TGFB1	 	growth factor	 	-0.054	 	1.79E-07	AHNAK,BTG1,CCND2,DNAJA1,EEF1A1,ENO1,ETS1,HLA-DQA1,HLA-DQB1,HSP90AA1,HSPA5,IGHM,LDHA,MALAT1,MKI67,MYH9,NUCB2,PRDM1,RPN2,SEC61B,SMC4,TSC22D3,TXNIP,UBE2J1,VIM,XBP1,YWHAE	63 (11)
PIK3R1	 	kinase	 	1.756	bias	2.15E-07	CCND2,DNAJC3,HSP90B1,HSPA5,LDHA,MKI67,TXNIP	14 (3)
filgrastim	 	biologic drug	Activated	2.359	 	2.56E-07	CD74,ENO1,GAPDH,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,IGKC,LDHA,PIM2,VIM,XBP1	 
chrysotile asbestos	 	chemical toxicant	 	1.941	bias	2.76E-07	DNAJC3,HSP90B1,HSPA5,JCHAIN,PDIA4	 
6-hydroxydopamine	 	chemical toxicant	Activated	2.630	 	3.18E-07	CALR,HSP90AB1,HSPA5,HSPA8,P4HB,PDIA3,VCP	 
Pln	 	other	 	 	 	3.53E-07	CALU,ENO1,HSP90B1,PRKCB,VCP,VIM	 
GSK-2606414	 	chemical reagent	 	 	 	4.54E-07	HSPA5,P4HB,PDIA4	 
CD3	 	complex	Activated	3.379	bias	5.18E-07	BTG1,CCND2,CD74,CDK6,ETS1,GAPDH,HLA-DQB1,HSP90AA1,HSP90B1,HSPA5,HSPA8,P4HB,PDIA4,SEC61B,SRGN	38 (7)
RAD21	 	transcription regulator	Inhibited	-2.000	 	5.43E-07	HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,PIM2	 
thapsigargin	 	chemical toxicant	Activated	2.245	bias	5.46E-07	CALR,ERLEC1,ETS1,HSP90B1,HSPA5,LMAN1,LMAN2,UBE2J1,XBP1	36 (8)
PLN	 	transporter	 	 	 	7.09E-07	CALU,ENO1,HSP90B1,PRKCB,VCP,VIM	 
APP	 	other	 	0.447	 	7.61E-07	CALR,CANX,CCND2,CD74,CDK6,COX7A2,ENO1,GAPDH,HLA-E,HSP90AA1,HSP90AB1,HSPA5,HSPA8,HSPD1,LDHA,PRKCB,S100A8,YWHAE	56 (7)
